,Name,Spacegroup,Volume,Band_gap
0,CsHoSiS4,P212121,760.627,3.024
1,Lu,R-3m,86.351,0
2,Tm,R-3m,88.611,0
3,Ne,Fm-3m,21.720,11.910
4,La,Im-3m,37.786,0
5,Pr,Im-3m,35.887,0
6,Kr,Fm-3m,42.831,7.487
7,V,Fm-3m,13.515,0
8,Rb,Im-3m,89.599,0
9,Ta,Fm-3m,18.788,0
10,V,Im-3m,13.169,0
11,Ne,Fm-3m,22.212,11.657
12,Al,Fm-3m,16.483,0
13,Ne,Fm-3m,11.262,13.500
14,K,Im-3m,71.876,0
15,Rh,Fm-3m,13.986,0
16,Er,Im-3m,30.711,0
17,Zr,Im-3m,22.806,0
18,Ho,Im-3m,31.050,0
19,Lu,Im-3m,29.429,0
20,Tb,Im-3m,32.046,0
21,Ne,Fm-3m,10.226,14.115
22,P,Pm-3m,14.572,0
23,Ru,Fm-3m,13.798,0
24,Ir,Fm-3m,14.465,0
25,Gd,Im-3m,32.540,0
26,Fe,Im-3m,11.174,0
27,Ni,Im-3m,10.860,0
28,Fe,Fm-3m,10.198,0
29,Tc,Fm-3m,14.563,0
30,Re,Fm-3m,14.946,0
31,Pt,Fm-3m,15.540,0
32,YbSe,Fm-3m,51.335,2.083
33,SiP,F-43m,37.415,0
34,SmZn,Pm-3m,47.871,0
35,SiC,Fm-3m,16.624,0
36,U,Im-3m,20.053,0
37,Zr,Fm-3m,23.185,0
38,Os,Fm-3m,14.340,0
39,ZnNi,P4/mmm,23.962,0
40,TiAg,P4/mmm,33.974,0
41,ZnNi,Pm-3m,24.026,0
42,YbTe,Fm-3m,63.967,1.620
43,TmAg,Pm-3m,45.446,0
44,UTe,Pm-3m,52.510,0
45,YAg,Pm-3m,47.706,0
46,LiBi,P4/mmm,47.134,0
47,TcB,Pm-3m,20.315,0
48,LiTl,Pm-3m,41.175,0
49,YbAg,Pm-3m,48.189,0
50,PrTl,Pm-3m,59.950,0
51,LuMg,Pm-3m,51.938,0
52,MnAu,Pm-3m,33.170,0
53,YbZn,Pm-3m,46.137,0
54,SiC,F-43m,20.881,1.586
55,Yb,Im-3m,36.541,0
56,Eu,Im-3m,40.371,0
57,Sb,Pm-3m,30.022,0
58,Yb,Fm-3m,36.840,0
59,Sr,Im-3m,52.678,0
60,Gd,Fm-3m,32.410,0
61,TaN,P-6m2,21.702,0
62,ErIr,Pm-3m,38.820,0
63,PrZn,Pm-3m,50.629,0
64,Tm,P63/mmc,59.492,0
65,CaSe,Fm-3m,52.341,2.167
66,CaTe,Fm-3m,65.232,1.644
67,Ti,Im-3m,16.849,0
68,Sb,Fm-3m,27.393,0
69,Ne,Fm-3m,10.137,14.150
70,Se,Pm-3m,22.497,0
71,Si,Fm-3m,14.434,0
72,CaPb,P4/mmm,59.025,0
73,HPd,Fm-3m,17.270,0
74,TiRh,P4/mmm,29.630,0
75,VRh,P4/mmm,27.021,0
76,CuAu,P4/mmm,29.905,0
77,NaBi,P4/mmm,56.003,0
78,ErMg,Pm-3m,53.256,0
79,SiRh,Pm-3m,26.487,0
80,Si,P6/mmm,15.053,0
81,Li,Fm-3m,18.094,0
82,P,Cmmm,14.594,0
83,P,Cmmm,14.594,0
84,Na,Im-3m,33.127,0
85,Fe,Im-3m,11.191,0
86,Np,Im-3m,17.567,0
87,Mg,Im-3m,22.836,0
88,Li,Im-3m,18.168,0
89,MnAu,P4/mmm,33.183,0
90,VFe,Pm-3m,23.569,0
91,TaRu,Pm-3m,31.986,0
92,Ge,Im-3m,19.093,0
93,Sb,Im-3m,27.157,0
94,Th,Im-3m,32.503,0
95,Tm,Fm-3m,29.625,0
96,H,Fm-3m,2.730,0
97,H,Im-3m,2.733,0
98,TcB,P-6m2,21.100,0
99,HoAs,Fm-3m,48.505,0
100,TcB,F-43m,26.389,0
101,HoSe,Fm-3m,46.729,0
102,TlSn,P4/mmm,57.410,0
103,LuPd,Pm-3m,40.136,0
104,YbRh,Pm-3m,37.187,0
105,YbRu,Pm-3m,37.097,0
106,LuRh,Pm-3m,37.381,0
107,AgI,Pm-3m,56.367,0.182
108,LuRu,Pm-3m,36.773,0
109,SrTl,Pm-3m,66.928,0
110,Gd,P63/mmc,65.029,0
111,LuZn,Pm-3m,42.269,0
112,NdMg,Pm-3m,58.456,0
113,Ho,P63/mmc,62.084,0
114,TiFe,Pm-3m,25.502,0
115,ScN,Pm-3m,21.390,0
116,NaH,Fm-3m,25.971,4.090
117,Tb,P63/mmc,64.432,0
118,PrZn,P4/mmm,50.551,0
119,YbSn,P4/mmm,53.895,0
120,NbRh,P4/mmm,31.747,0
121,VOs,Pm-3m,27.252,0
122,Er,P63/mmc,60.876,0
123,ScP,Pm-3m,35.125,0
124,LiBi,P4/mmm,47.194,0
125,CdAu,Pm-3m,38.329,0
126,TaTc,Pm-3m,32.291,0
127,TiAl,P4/mmm,32.247,0
128,Lu,P63/mmc,57.814,0
129,HfOs,Pm-3m,34.329,0
130,TbTl,Pm-3m,54.152,0
131,NaBi,P4/mmm,56.035,0
132,TiHg,P4/mmm,37.205,0
133,ErPd,Pm-3m,41.561,0
134,MgPd,Pm-3m,31.556,0
135,CsAu,Pm-3m,77.418,1.040
136,RbAu,Pm-3m,69.171,0.392
137,PrMg,Pm-3m,60.037,0
138,TbZn,Pm-3m,45.856,0
139,TbZn,P4/mmm,45.590,0
140,HfRh,Pm-3m,34.610,0
141,DyAu,Pm-3m,45.914,0
142,LuCd,Pm-3m,48.737,0
143,CaCd,Pm-3m,55.825,0
144,Tb,Fm-3m,31.694,0
145,FePd,P4/mmm,27.526,0
146,TiTc,Pm-3m,29.734,0
147,HfRu,Pm-3m,33.927,0
148,VTc,Pm-3m,27.396,0
149,TbSb,Fm-3m,60.128,0
150,MgRh,Pm-3m,30.118,0
151,CeMg,Pm-3m,61.163,0
152,PmMg,Pm-3m,57.401,0
153,YCu,Pm-3m,41.597,0
154,ErAu,Pm-3m,44.812,0
155,HfTc,Pm-3m,34.601,0
156,TiOs,Pm-3m,29.365,0
157,EuMg,Pm-3m,66.821,0
158,GdMg,Pm-3m,55.229,0
159,SmMg,Pm-3m,56.704,0
160,ZrOs,Pm-3m,35.375,0
161,ZnRh,Pm-3m,27.507,0
162,ErMg,Pm-3m,53.284,0
163,U,Fm-3m,21.705,0
164,Ne,Fm-3m,10.061,14.181
165,Sn,Im-3m,26.498,0
166,GeC,F-43m,24.072,1.772
167,HoSb,Fm-3m,58.656,0
168,ZnO,Pm-3m,18.829,0
169,ScC,Pm-3m,23.789,0
170,ScCu,Pm-3m,33.848,0
171,ErRh,Pm-3m,38.833,0
172,HoHg,Pm-3m,50.038,0
173,YC,Pm-3m,29.851,0
174,Ne,Fm-3m,10.267,14.099
175,Ne,Fm-3m,10.186,14.132
176,Se,R-3m,22.329,0
177,Ho,Fm-3m,30.638,0
178,SnP,Fm-3m,43.579,0
179,HoTe,Fm-3m,57.270,0
180,HgSe,F-43m,60.143,0.176
181,CuO,Fm-3m,18.286,0
182,LaCd,Pm-3m,59.906,0
183,CuN,F-43m,21.552,0
184,H,Fm-3m,2.729,0
185,HgS,F-43m,53.718,0.179
186,SnC,F-43m,32.794,0.950
187,ScP,Fm-3m,37.473,0
188,CdPd,P4/mmm,34.530,0
189,AgCl,Fm-3m,43.640,1.115
190,Sb,R-3m,63.356,0
191,DyAl,Pm-3m,46.580,0
192,PbS,Pm-3m,48.577,0
193,HgPd,P4/mmm,35.957,0
194,NdCd,Pm-3m,56.430,0
195,GdAs,Fm-3m,50.736,0
196,SnC,Fm-3m,27.406,0
197,ZnTe,F-43m,57.783,1.453
198,NiC,Fm-3m,16.961,0
199,HfPt,Pm-3m,36.555,0
200,TbAs,Fm-3m,49.927,0
201,Ga,Cmcm,36.949,0
202,TbTe,Fm-3m,58.839,0
203,HgPt,P4/mmm,35.800,0
204,ZrHg,P4/mmm,42.581,0
205,TiO,Fm-3m,19.214,0
206,PrTe,Pm-3m,59.239,0
207,GdSb,Fm-3m,60.995,0
208,TcB,Fm-3m,21.284,0
209,NiHg,P4/mmm,31.250,0
210,NbS,P-6m2,31.465,0
211,PrSb,Fm-3m,66.831,0
212,NiN,F-43m,19.933,0
213,MnSe,Fm-3m,38.716,0
214,GdAu,Pm-3m,47.321,0
215,TbMg,Pm-3m,54.639,0
216,TmTl,Pm-3m,52.137,0
217,CaHg,Pm-3m,54.064,0
218,LaHg,Pm-3m,58.459,0
219,Ne,Fm-3m,10.240,14.108
220,Ne,Fm-3m,10.154,14.146
221,Ne,Fm-3m,10.018,14.198
222,DySb,Fm-3m,59.378,0
223,MnSe,F-43m,51.094,0
224,LiHg,Pm-3m,36.171,0
225,MgTl,Pm-3m,48.411,0
226,YTl,Pm-3m,53.731,0
227,SnP,I4mm,45.475,0
228,Li,R-3m,16.786,0
229,I,Fmmm,41.448,0
230,Ne,Fm-3m,10.294,14.087
231,Ne,Fm-3m,10.047,14.187
232,DyAs,Fm-3m,49.131,0
233,TmMg,Pm-3m,52.669,0
234,SrS,Fm-3m,55.235,2.587
235,SrSe,Fm-3m,62.026,2.414
236,CaS,Fm-3m,46.290,2.400
237,He,Fm-3m,9.909,18.390
238,TePb,Pm-3m,62.598,0
239,PrCd,Pm-3m,57.341,0
240,CdPt,P4/mmm,34.723,0
241,MgS,Fm-3m,35.356,2.950
242,CrN,Fm-3m,17.518,0
243,PbSe,Pm-3m,53.010,0
244,VO,Fm-3m,21.623,1.191
245,YC,Fm-3m,32.890,0
